tweet_no	text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
99	كلمة سيدي #خادم_الحرمين_الشريفين تؤكد حرص القيادة -حفظها الله- على تسخير كل ما يحقق رفعة الوطن وسلامة المواطن والمقيم، ونبذل في وزارة التعليم قصارى جهدنا للتكامل مع كل الجهود الوطنية العظيمة للتصدي لفيروس #كورونا من خلال الجامعات وإدارات التعليم. حفظ الله الوطن وقيادته وأدام عزه. URL	yes	no	yes	no	no	no	no
100	أمير قطر يطلب من الولايات المتحدة ودول أخرى تنفيذ وعودها بالضغط على السعودية لإنهاء المقاطعة وإيجاد حل للأزمة نظير احتضان الدوحة لإتفاق المصالحة بين طالبان وأمريكا. - تعليق: دول العالم أجمع مشغولة بكيفية القضاء على كورونا وإعلام الدوحة مشغول بالسعودية! نسأل الله العافية والسلامة	yes	yes	nan	yes	yes	no	no
101	استشعاراً لواجبي الوطني .. أشارككم هذه العبارات التوعوية من أفكاري وتنفيذي .. أسأل الله أن يحمي بلادنا وجميع بلاد المسلمين من كل مكروه وأن يزيل عنّا هذا الوباء إنه على كل شي قدير  #كلنا_مسؤول #فيروس_كورونا URL	no	nan	nan	nan	nan	no	no
102	علي ضوء المتابعة الموقوتة لإجراءات مكافحة إنتشار ڤيروس كورونا .. فقد كلفت الحكومة و الأجهزة التنفيذية المختصة بإتخاذ اللازم نحو تطوير الإجراءات الاحترازية المتبعة علي مستوي الدولة و المواطن من خلال اتخاذ حزمة إجراءات إضافية تسهم في تحقيق أعلي معدلات الأمان ١/٢	no	nan	nan	nan	nan	no	no
103	من يسمون أنفسهم “معارضة سعودية” في لندن مثيرون للشفقة، فشل تحريضهم العقود الماضية وتحالفاتهم الإلكترونية، فاتجهوا للتحالف مع #كورونا بشائعات وأمنيات ضد بلدهم. الأوبئة والفايروسات تتحالف مع بعضها.	no	nan	nan	nan	nan	no	no
104	تواجه قطر وباء كورونا بقوة وحزم وبحشد جهود الجميع لحماية مجتمعنا وبلدنا. جهازنا الصحي يقف في الخط الأمامي من هذه المواجهة وكوادرنا الطبية تؤدي مهمتها النبيلة بشجاعة وتحقق نجاحا لا يكتمل إلا بكم. لنكن عونا لهم بالتزام الإرشادات الوقائية خاصة لزوم المنازل في الفترة الحالية.	no	nan	nan	nan	nan	no	no
105	عراب الانقلاب والغدر والعقوق في قطر  بدء التغريدات ب #كورونا  ثم اقحم 11 سبتمبر ، ثم حول على الدول العربية ، ثم على دول الخليج ثم اختتم بان قطر دولة الصمود وان استمرت المقاطعة 3 سنوات ثم اختتم التغريدة بالتوسل لانهاء المقاطعة ..توظيف رخيص وغبي  الاسم: بن جاسم  الوظيفة: جمال ريان	yes	yes	yes	yes	yes	yes	yes
106	عاجل 🔴 .  .  إيطاليا تبدأ في استخدام علاج لفيروس كورونا .. وأنباء عن ثبوت فاعليته. (العربية) .  . #ايطاليا	yes	yes	yes	no	yes	yes	yes
107	عاجل:  الآن.. بدء تنفيذ قرار إيقاف الطيران الداخلي والأجرة والقطارات والحافلات في #السعودية.   #كورونا #فيروس_كورونا	yes	no	yes	no	no	no	no
108	أول من حذر من مرض خطير واعتقلته السلطات بتهمة نشر شائعات ثم توفي بالفيروس.. #الصين تعتذر لعائلة مكتشف #كورونا وتمنحها تعويضا وتحاكم من اعتقلوه #العربية #أن_تعرف_أكثر URL	yes	yes	nan	no	yes	no	no
109	وعلى سبيل البشائر ..   إيطاليا تبدأ في استخدام علاج لفيروس كورونا .. وأنباء عن ثبوت فاعليته. (العربية)	yes	no	yes	no	no	no	no
110	استاذ الطب الرئوي في #تركيا يصرح بأن الأعداد المعلنة عن #كورونا غير صحيحة والعدد المتوقع الوصول له 145 ألف ، كل هذه الأخبار بدل أن يناقشها اعلام #اردوغان يهرب منها بتكثيف الهجوم على #السعودية !! خبر يستحق القراءة والاستماع والتأمل لتعرف كيف تدار الدول الفاشلة !!	yes	no	nan	yes	yes	no	yes
111	تاريخ الخبر واضح، أول يوم من سنة 2020... الشرطة الصينية في وهان تعتقل 8 أشخاص بتهمة ترويج شائعات عن وجود وباء ينتشر. جريمة #الصين بحق العالم لا تغتفر . #فيروس_كورونا #COVIDIOTS	yes	no	yes	no	no	no	no
112	سند وذخر 🇶🇦 14953 متطوع حتى الآن من هل #قطر والمقيمين يضربون أروع الأمثلة في الوقوف مع الدولة لمكافحة فيروس #كورونا ✌️	yes	no	yes	no	no	no	no
113	كلمة سيدي الرئيس عيدروس الزبيدي والموجهة للشعب الجنوبي بخصوص فيروس كورونا . والعمل جاري لتنفيذ كل ما جاء في هذا الخطاب مع ما تقدم من إجراءات بتوجيهاته السابقة منذ بداية الأزمة وبمتابعة شخصية من الرئيس حفظه الله ورعاه .	yes	no	yes	no	no	no	no
114	لماذا تنتشر العنصرية والشائعات والنكتة في أزمة #كورونا؟ محمد الحاجي USERID باحث دكتوراه العلوم السلوكية والاجتماعية للصحة العامة. يفسّر لنا علميًّا ما قامت به المجتمعات والحكومات العربية والغربية، في ظل أزمة كورونا. الآن، على قناة #ثمانية: URL URL	no	nan	nan	nan	nan	no	no
115	هذا اجنبي عبر برنامج التيك توك  يصور مقاطع في وسط محافظة جدة حي بني مالك لنشر الشائعات عن كورونا محاولا بث الرعب والهلع في المجتمع   هذه المقاطع وهذه الشائعات ليست عفوية بل مقصودة لغاية وقد تستغل لغايات اخرى   USERID  USERID  USERID URL	yes	nan	no	no	no	no	no
116	#عاجل   #إيطاليا تبدأ باستخدام علاج فايروس #كورونا، وأنباء عن ثبوت فاعليته. (العربية)	yes	no	yes	no	no	no	no
117	فايرس كورونا المستجد COVID2019  من واجبات كل مواطن ومقيم أتباع التوجيهات الصادرة عن الجهات المختصة  اجلس في بيتك اغسل يدك  امتنع عن الترويج للاشاعات أتبع أرشادات الوقاية  حفظ الله الجميع من كل شر،،،   #شبكة_الساحل_العماني #كورونا_الجديد #كوفيد_19 #COVID2019 #عمان_تواجه_كورونا URL	no	nan	nan	nan	nan	no	no
118	لنتفق سويآ  لن نخرج من البيت حتى يزول المرض  حال هذي العجوز الأسبانيه يكسر الخاص كأن حكومتهم اختارت لهم الموت مصيرآ    #تم_تامرون_امر #انا_مع_حظر_التجول_الاجباري #أبو_طلال_الحمراني #الفراج_يستهزي_بالحجر_الصحي #وينك_فيه #COVID19 #نطالب_بحظر_تجول_في_قطر #اقعد_في_بيتك URL	no	nan	nan	nan	nan	no	no
119	تغريدة تحاول #الدوحة من خلالها تبرير خيانتها للبنان بنقلها مرض #كورونا لبنان تصدر الاغنام!! بالتأكيد الدوحة لاتسعى لرأي لبنان العام فهي لم تضع له وزن لأن من ينقل الموت لهم لن يهتم لما دونه ولكنها تحاول التبرير لبعض من في #قطر رهانها في ذلك قلة مداركهم.  #قطر_تنقل_كورونا_الى_لبنان URL	yes	yes	yes	yes	yes	yes	yes
120	المنطقة الصناعية القديمة في #قطر تقود الدولة إلى كارثة حقيقية بسبب تهرب ورفض العمال لإجراءات العزل، تحتل قطر أعلى عدد إصابات بوباء #كورونا من بين دول الخليج، ولازال يصر مسؤولي الحكومة على توجيه الإعلام لمهاجمة دول المقاطعة هربًا إلى الأمام بدلًا من حفظ وحشد الجهود لمواجهة الكارثة	yes	yes	yes	yes	yes	yes	yes
121	#فيديو | غضب شعبي في #قطر لتباطؤ الحكومة ضد “#كورونا” وزيرة الصحة د.حنان الكواري تبلغ القيادة القطرية بأن وضع الوباء خرج عن السيطرة في #قطر ، عدد الحالات التي تصل الى المستشفيات يومياً في قطر مايقارب100 حالة كورونا ، وتطالب بتدخل القيادة العليا . #قطر_هي_كورونا  #قطر URL	yes	yes	yes	yes	yes	yes	yes
122	وصلت وفيات كورونا بايران لـ١٤٧٠ وايطاليا تجاوزت الصين بـ ٣٩٤٩وفاة  والإصابات بدويلة قطر ٥٠٢حالة والسعوديين يحجرون على مواطنيهم بمنتجعات جزر المالديف وفنادق الساحة الحمراء بموسكو والكويتيون يستعينوا بعلى بن ابي طالب لطرد الفايرس والعراقيون يستقبلون مرضى إيران #عبدالكريم_المهنا URL	yes	no	yes	no	yes	no	no
123	5 الآف متطوع لوزارة الصحة بعد فتحها باب التطوع لحد الان .. هذي عوايدها قطر 🇶🇦 بتكاتفنا نقهر #فيروس_كورونا  USERID	yes	no	yes	no	no	no	no
124	طائرة الشحن القطرية المغادرة من طهران إلي بيروت الخطوط القطرية حاولت أن تنفي في محاولة خداع المتابعين لها  والحقيقة  أن الطائرة هي طائرة شحن محملة ببعض الركاب المصابين بوباء #كورونا للتغطية على الحمولة الأكبر وهي السلاح المتوجه لحزب الشيطان اللبناني  علما بأن مطار بيروت مغلق URL	yes	yes	yes	yes	yes	yes	yes
125	رغم تحذير منظمة الصحة العالمية وإغلاق المطارات والحدود مع #ايران إلا أن طائرة لنظام #قطر( QTR8320) غادرت طهران وعلى متنها عدد من قيادات الحرس الثوري..قبل ساعات وحطت في مطار بيروت الدولي وكان في الاستقبال قيادات حزب الله لبنان..نقلوا الشحن!واسعافهم نقل مصابين ب #كورونا؟ #امجد_طه URL	yes	yes	yes	yes	yes	yes	yes
126	عاجل نقلا عن وكالة الأنباء القطرية :  أمير دولة قطر سمو الشيخ تميم بن حمد آل ثاني يوجه بدعم غزة المحاصرة ب ١٥٠ مليون دولار على مدار ستة أشهر لمواجهة تفشي #كورونا ودعم أهلها في ظل الظروف الصعبة التي تعانيها	yes	no	yes	no	no	no	no
127	ولدي نايف قطع رحلة علاجه في بريطانيا ورجع إلى الدوحة إلى الحجر في إحدى الفنادق ثم طرأت بعض الأعراض التي استدعت القائمين على الصحة أخذه للمستشفى للتأكد من سلامته من وباء #كورونا وفي انتظار النتائج أشكر دولتنا الحبيبة #قطر على رعايتهم اللامحدوده لولدي  وهذه رسالة منه لكم دعواتكم🤲🏻 URL	yes	no	yes	no	yes	no	no
128	إذا قلنا لكم إنهم في #قطر بلا دين و لا ذمّه و لا ضمير ما نكون نبالغ .. العالم كله مستنفر بسبب وباء #كورونا و الموبوئين في عقولهم من أول #تميم_بن_حمد إلى آخر جزمه في #قناة_الجزيرة شغالين تقارير وهمية عن #السعودية .. إذا ما تخافون الله فينا خافوا الله في شعبكم اللي بينقرض بسببكم .	no	nan	nan	nan	nan	yes	yes
129	إنفاذا للإجراءات الاحترازية المعمول بها في البلاد منعا لانتشار فيروس كورونا (كوفيد-19)، الجهات المختصة تضبط 10 أشخاص خالفوا اشتراطات العزل الصحي المنزلي وفقا لتعهد التزموا من خلاله بتطبيق تلك الاشتراطات المحددة، حيث أفادت وزارة الصحة العامة بأنه جار إحالتهم للنيابة المختصة. #قنا	yes	no	yes	no	no	no	no
130	شوارع #قطر .. تنظيف وتعقيم .. جهود لا تتوقف ليل نهار لمكافحة #كورونا .. فكونوا معهم داعمين للوقوف معاً لمنع تفشي هذا الفايروس .. #لأجل_قطر_كلنا_في_البيت #سلامتك_هي_سلامتي #الزم_بيتك URL	yes	no	yes	no	no	no	no
131	تحديث.. ٢٠ مارس ٢٠٢٠  الساعة:  ١١ م بتوقيت مكة المكرمة  عدد حالات الشفاء من #كورونا المستجد بدول الخليج: 🇧🇭البحرين: ١١٢ من ٢٩٢ إصابة 🇦🇪الإمارات: ٣١ من ١٤٠ إصابة 🇴🇲عُمان: ١٣ من ٤٨ إصابة 🇰🇼الكويت: ٢٢ من ١٥٩ إصابة 🇸🇦السعودية: ٨ من ٣٤٤ إصابة 🇶🇦قطر: ١٠ من ٤٧٠ إصابة	yes	no	yes	no	no	no	no
132	الموضوع ليس سياسي..فما يحصل في قطر خطير وخطير جداً..انتشار فايروس #كورونا في الدوحة بشكل مخيف ومرعب جداً..ع نظام الأمير تميم طلب المساعدة من منظمة الصحة العالمية والدول ووقف المواصلات مع إيران  لقبائلنا والمقيمين بقطر #تكفون_اقعدوا_في_بيوتكم فنحن في #اعلان_حرب_ضد_كورونا. #امجد_طه	yes	yes	yes	yes	yes	yes	yes
133	تحديث.. ٢١ مارس ٢٠٢٠  الساعة:  ١١ م بتوقيت مكة المكرمة  عدد حالات الشفاء من #كورونا المستجد بدول الخليج: 🇧🇭البحرين: ١٢٥ من ٣١٠ إصابة 🇦🇪الإمارات: ٣٨ من ١٥٣ إصابة 🇴🇲عُمان: ١٣ من ٥٢ إصابة 🇰🇼الكويت: ٢٧ من ١٧٦ إصابة 🇸🇦السعودية: ١٦ من ٣٩٢ إصابة 🇶🇦قطر: ٢٧ من ٤٨١ إصابة	yes	no	yes	no	no	no	no
134	فيديو 🎥| جانب من جهود #أشغال في تنظيف وتعقيم الشوارع وذلك في إطار مواجهة انتشار فيروس #كورونا  #مرسال_قطر URL	yes	no	yes	no	no	no	no
135	احدى طائرات الشحن القطرية القادمة من إيران تحمل على متنها مرضى بفيروس كورونا بغطاء تبرعات طبية مكدسين فوق بعضهم تهبط بمطار بيروت بالقوة تحت حماية حزب الله .. URL	yes	yes	yes	yes	yes	yes	yes
136	إصابة عمالة آسيوية وأفريقية في قطر بـ #كورونا منذ أسابيع ونقلوا العدوى لآخرين #العربية_عاجل URL	yes	yes	yes	yes	yes	yes	yes
137	كانوا يحاربون الشركات الوطنية لهدفين  ١) إضعاف اقتصاد البلد، لصالح اقتصاد قطر وتركيا.  ٢) ابتزاز اصحاب الشركات للتبرع للمؤسسات الخيرية التي يديرونها، وتعيين كوادرهم قيادات في هذه الشركة، والا تستمر الحملات.  ٣) اضعاف شركات معينة لصالح شركات غيرها اصحابها يدعمونهم ب(أوقاف) ضخمة.	yes	yes	yes	yes	no	yes	yes
138	أعلنت دولة #قطر_اليوم ان #الخطوط_الجوية_القطرية سوف تنقل المساعدات من كل دول العالم إلى #ايران دون مقابل وفي اطار الدعم الذي تقدمه قطر لمساعدة الجهود الايرانية لمكافحة كورونا ولمواجهة المقاطعة التي تفرضها الولايات المتحدة على ايران . ايران قالت ان شعبها لن ينسى من يقف معها .	yes	no	yes	yes	yes	yes	no
139	لتقديم البلاغات والشكاوي الخاصة بالحجر الصحي (الفنادق - المنازل) ، والإبلاغ عن حالات عدم  الالتزام بالإرشادات الصحية والأمنية للوقاية من #فيروس_كورونا  (كوفيد-19)  يمكنكم الاتصال على الخط الساخن 44579999 .. سلامتكم تهمنا #سلامتك_هي_سلامتي  #الداخلية_قطر URL	no	nan	nan	nan	nan	no	no
140	عاجل مسؤولين في منظمة الصحة العالمية ارسلوا تحذير لنظام قطر بعد ان رفضت وزارة الصحة بالدوحة تجهيز مستشفى للعمالة المصابة(آسيوية وأفريقية)ب #كورونا وأمر USERID الأمر اعلامياً(غداً)ووصل عدد المصابين لأكثر من862 #حظر_تجول_اجباري_ينقذنا #تكفون_اقعدوا_في_بيوتكم #امجد_طه	yes	yes	yes	yes	yes	yes	yes
141	يمر العالم بظروفٍ صعبةٍ تتطلب تكاتف الأفراد والمجتمعات والحكومات لمواجهة خطر انتشار فيروس كورونا المستجد، نأمل من الجميع الالتزام بحزمة التعليمات والإجراءات الصادرة من الدولة للحد من انتشار الفيروس و التغلب عليه.   نسأل الله العظيم أن يحفظنا جميعاً.	no	nan	nan	nan	nan	no	no
142	تعلن وزارة الصحة العامة عن فتح باب التطوع لدعم جهود دولة قطر في إطار الإجراءات الوقائية والاحترازية للحد من انتشار #فيروس_كورونا (كوفيد-19)  #سلامتك_هي_سلامتي  URL	yes	no	yes	no	no	no	no
143	سمو أمير البلاد المفدى يوجه بتقديم 150 مليون دولار على مدى 6 أشهر دعما لقطاع غزة، وذلك استكمالا لجهود دولة قطر في التخفيف من معاناة الشعب الفلسطيني الشقيق، ودعما  لبرامج الأمم المتحدة الإغاثية والإنسانية في قطاع غزة، ولمكافحة تفشي فيروس كورونا المستجد (كوفيد-19). #قنا URL	yes	no	yes	no	no	no	no
144	USERID #قطر تم عزلها منذ ثلاث سنوات من قبل جيرانها لانها مصابة بفايروس التآمر .. وهي لم تُشفى منه حتى يتم إعادة دمجها بمحيطها. قد تُشفى من #كورونا لكن من المستبعد ان تُشفى من فايرس التآمر المتفشي في قيادتها.	no	nan	nan	nan	nan	no	no
145	اتّحد مذيعو الجزيرة جميعاً مع الإخوان المسلمين مع بقايا الصحوة البائدة مع مدّعي الوحدة اليمنية الفاشلة ليعترفوا جميعا: “إنّ قطر أصغر بكثير من أن تقوم بتصنيع ونشر الفيروس”، فقلت لهم: “كذلك فإنّ فيروس كورونا صغير جداً، ومع ذلك يعيث في الأرض الخراب”.  URL	no	nan	nan	nan	nan	no	no
146	ماذا بعد #كورونا يا أهل قطر ؟😉	no	nan	nan	nan	nan	no	no
147	الجهات المختصة تبذل كل جهودها لمكافحة انتشار فيروس #كورونا.. التزم بدورك و #لأجل_قطر_خلك_فالبيت URL	no	nan	nan	nan	nan	no	no
148	ليش تستغربون وتضجون لمن #قطر اعلنت استعداداتها لنقل المساعدات الطبية ل #ايران لمواجهة #كورونا ؟!  #الامارات و #السعودية  قدمت اجهزة ومعدات طبية لإسرائيل وماحد تكلم مو بس كذا قدمتا اكثر من 10 مليار دولار لدعم المستشفيات الإسرائيلية   #فيروس_كورونا	yes	yes	yes	yes	yes	yes	yes
149	بيان #مديرية_الطيران_المدني عن رحلة الخطوط القطرية #طهران #بيروت بقول كانت حاملة “جثمان من كندا وبريد سياسي” بينما البيان القطري الرسمي بقول “خالية من أي بضائع أو ركاب” مطلوب من المسؤولين عنا توضيح... مش ناقصنا فضايح وتناقض ممكن يزيد عدم الثقة بزمن #كورونا	yes	yes	yes	nan	yes	yes	yes
150	هل تحولت قطر من ناقل للمليشيات والأسلحة والأموال للارهابيين إلى ناقل للأوبئة؟  عدة صحف تتحدث ان الطائرة القطرية ليست للشحن كما تدعي قطر  وليست لنقل الاسلحة والمليشيات كما توقعنا وتعودنا  بل تطور الامر واصبحت تنقل المرضى الذين عجزت مستشفيات ايران عن استيعابهم الى لبنان.   #كورونا URL	yes	yes	yes	yes	yes	yes	yes
151	يعد التباعد الاجتماعي خطوة هامة للحد من انتشار فيروس كورونا (كوفيد-19). يرجى اتباع النصائح والتدابير الوقائية التي اوصت بها وزارة الصحة العامة للحفاظ على سلامة المجتمع ودعم الجهود والإجراءات الاحترازية التي تقوم بها دولة #قطر.  #سلامتك_هي_سلامتي URL	no	nan	nan	nan	nan	no	no
152	جميع وكالات الأنباء والقنوات مشغولة في توعية الناس من الوباء إلا مرتزقة الجزيرة مشغولين بالشيخ محمد بن زايد وماذا قال وأين ذهب الأمير محمد بن سلمان وبماذا صرح الرئيس السيسي!  عقدة نقص قطر وتنظيم الكلبين ستبقى أخطر من كورونا ولهذا قالوا لا تصارع خنزيرا بالوحل فتتسخ انت ويستمتع هو.	no	nan	nan	nan	nan	no	no
153	وزارة الصحة العامة تقول إن الحالات الـ17 التي تماثلت للشفاء من فيروس كورونا (كوفيد-19) ، بينهم 4 مواطنين قطريين، ليصل إجمالي حالات الشفاء من الوباء إلى 27 حالة في دولة قطر.  #قنا	yes	no	yes	no	no	no	no
154	لا يوجد قطري واحد يصدق بأن طائرة الشحن القطرية طارت من طهران إلى حزباله في لبنان طلعت فاضية ،، ،، ماحد تكلم عن الخرفان اللي شلتوها من بيروت للدوحة علشان تغطون على خط سير طهران بيروت ،، امريكا سامحة لكم اوك بس لا تستغفلون الشعب اللبناني بشحن كورونا لهم ولا تستغفلون الشعب القطري	yes	yes	yes	yes	yes	yes	yes
155	وزائرتي كأن بها حياء فليس تزور إلا في الظلام فرشت لها المطارف والحشايا فعافتها وباتت في عظامي يضيق الجلد عن نفسي وعنها فتوسعه بأنواع السقام اذا ما فارقتني غسلتني كأنا عاكفان على حرام #المتنبي #الحمى #وباء #كورونا #الكويت #السعودية #قطر #الامارات #البحرين #عمان URL	no	nan	nan	nan	nan	no	no
156	رئيس مجلس الوزراء ووزير الداخلية يصدر قرارا بفرض إجراءات احترازية لمنع كافة أشكال التجمع، بسلطة القانون، على سبيل المثال لا الحصر (الكورنيش، والحدائق والشواطئ العامة، والتجمعات الاجتماعية)، وذلك استمراراً للجهود التي تبذلها الدولة للتصدي لفيروس كورونا والحد من انتشاره . #قنا URL	yes	no	yes	no	no	no	no
157	شوارع #قطر خالية ، حظر مجتمعي دون صدور قانون الحظر حتى الآن .. خالية ومنازلها عامرة بالحب والوفاء والولاء والمسؤولية .. المجتمع كله هو حائط الصد العظيم تجاه المحن والأزمات 🇶🇦🇶🇦🇶🇦💪🏻💪🏻💪🏻👏🏼👏🏼👏🏼👏🏼👏🏼 #كورونا URL	no	nan	nan	nan	nan	no	no
158	وكالة أنباء تركيا الرسمية “ الأناضول “   تعيد تكرار نفس الخبر ! العالم مشغول بوباء #كورونا . وهم والقطريين مشغولين بفوبيا محمد بن سلمان !  يكررون اعادة نشر الخبر في كل الاوقات وهذا يدل على جنونهم وتأزمهم من صورته واسمه.  وش انت مسوي بهم 🇸🇦 😂 ؟ URL	yes	yes	nan	yes	no	yes	no
159	عقب قرار منع كافة أشكال التجمع بسلطة القانون للحد من انتشار فيروس كورونا (كوفيد-19)، نشدد على ضرورة تحمل المسؤولية والالتزام بكافة القرارات والإجراءات الاحترازية لضمان سلامة الجميع في دولة #قطر. #سلامتك_هي_سلامتي URL	no	nan	nan	nan	nan	no	no
160	يعتقد الخبراء الصينيون أن #كورونا قد يتسبب في تلف الخصيتين وعقم الذكور ، ويوصي الرجال المصابين بإجراء اختبارات لجودة السائل المنوي ومستويات الهرمون،، **إن صدق اعتقادهم فالفايروس انتاج مختبرات 100%للسيطرة على الانفجار السكاني،وإلا ماعلاقة مرض تنفسي يؤثر على الخصوبة!! URL	yes	yes	yes	yes	yes	yes	yes
161	ما هو أفضل علاج لفيروس كورونا كوفيد-١٩؟ URL	no	nan	nan	nan	nan	no	no
162	مصادر مطلعة تتحدث عن طائرة #قطرية شحن أتت من #ايران الى #لبنان وهبطت في مطار رفيق الحريري الدولي(رغم إقفال المطار )وعلى متنها لبنانيين وإيرانيين مصابين بفيروس #كورونا وقد دخلوا لبنان بطريقة احتيالية لهذا السبب ارتفعت  الإصابات ب #فيروس_كورونا في #لبنان. URL	yes	yes	yes	yes	yes	yes	yes
163	تواجه قناتي: (يوسف علاونة مباشر) حملة شعواء من بهايم حلف اللطم وتضمن هذا دفع رشاوى لتعطيل الاشتراكات القديمة  برجاء تجديد الاشتراك وتفعيل الجرس  ونشر هذه التغريدة #كورونا #اوامر_ملكية #Covid_19 #قطر #ترك #مجوس #اخوان #احذية #روافض #خوارج #يوسف_علاونة  URL	no	nan	nan	nan	nan	no	no
164	فيديو 🎥| هيئة الأشغال العامة “#أشغال” تقوم بتنظيف وتعقيم الشوارع في إطار مكافحة انتشار فيروس #كورونا  USERID  #نديب_قطر URL	yes	no	yes	no	no	no	no
165	راجعنا بعد ما ينتهي كورونا نشوف موضوع مشكلتك الصغيرة جداً.  #كورونا #كورونا_السعوديه #قطر URL	no	nan	nan	nan	nan	no	no
166	كم انت عظيم ايها الشعب اليمني تحارب انقلاب مدعوم ايرانيا وقطريا وتطوق القاعدة وداعش وتسمو فوق خزعبلات المثبطين وتجار الازمات وتراقب الخونة الذين باعوا أنفسهم للشيطان وتستعد مع العالم لمواجهة #كورونا الذي قد يدخل مع الخبراء الإيرانيين او السماسرة القطريين القادمين الى صنعاء...	yes	yes	no	yes	no	yes	yes
167	أمير #قطر الشيخ تميم بن حمد آل ثاني يدعم #غزة ب 150 مليون دولار استكمالا لمشاريع الإغاثة والإعاشة، ودعما للقطاع الصحي في مواجهة وباء #كورونا .... (صنائع المعروف تقي مصارع السوء) وبإذن الله “دَفْعِة بَلا” URL	yes	no	yes	no	no	no	no
168	منظمة العفو الدولية: إصابة عمال بناء في #قطر بفيروس #كورونا بعد رفض السلطات علاجهم ووضعهم بمستشفيات غير مؤهلة URL	yes	yes	yes	yes	yes	yes	yes
169	إصابة عاملين بمشروعات كأس العالم في قطر بـ #كورونا #العربية_عاجل URL	yes	yes	yes	yes	yes	yes	yes
170	أعاد مغردون تداول صورا، لعمال آسيويين مكدسين في منطقة فارغة مكتظة بالقاذروات، وهم يرتدون كمامات، مستنكرين ما قالوا إنها ”انتهاكات ضد الإنسانية، وأبشع أنواع الإهانات يتلقاها الآسيويون في #الدوحة“ URL #إرم_نيوز #قطر #فيروس_كورونا URL	yes	yes	yes	yes	yes	yes	yes
171	”#كورونا“ يسقط #قطر من جديد في فخ ”إهانة“ العمالة الأجنبية (صور)  #إرم_نيوز #الدوحة #نطالب_بحظر_تجول_في_قطر   URL	yes	yes	yes	yes	yes	yes	yes
172	#عاجل برئاسة #خادم_الحرمين_الشريفين .. عقد القمة الاستثنائية الافتراضية لـ #مجموعة_العشرين حول #فيروس_كورونا المستجد (كوفيد 19) الخميس المقبل. URL #واس URL	yes	no	no	no	no	no	yes
173	بأمر خادم الحرمين الشريفين  منع التجول للحد  من انتشار #فيروس_كورونا  من الساعة 7م حتى الساعة 6ص  لمدة 21 يوم URL	yes	no	yes	no	no	no	no
174	تغريدة من ذهب ،، يعني تعتبر هذا النوع من الأخبار هي حرب ؟ يعني قناة الجزيرة خلال ٢٠ سنة جالسة تحارب العرب ؟ للأسف يا ياسر يابو حثالة مازلت ذليل عند حكام قالوا “ الأردن بلا كرامة “ ولكن المرتزق مثلك مايهمه وطنه قدر مايهمه جيبه	no	nan	nan	nan	nan	no	no
175	بالأمس انطلقت ابواق #الإخوان في محاولة لاخفاء الأخبار المتواترة عن انهيار منظومة #تركيا الصحية وتحولها إلى بؤرة ساخنة لمرض #كورونا ولم تمض أكثر من ١٢ ساعة حتى  يأتينا خبر تحرك #الصين لإنقاذها !! أين الجهاز الذي يكتشف في ثلاث ثواني؟؟ أين تصدير #اردوغان ل 500 ألف جهاز إلى أمريكا؟؟	no	nan	nan	nan	nan	yes	yes
176	كمصري أعيش في #السعودية منذ ثلاث عقود اقولها بكل صراحة بأن تعامل حكومة #السعودية بقيادة #خادم_الحرمين_الشريفين و #ولي_العهد مع أزمة #كورونا_الجديد اكثر من رائع  وسيذكر التاريخ انها تعاملت مع الأزمه باقصى سرعة وأحترافية وأمانه وصراحة ، حفظ الله #السعودية_العظمى #كورونا_السعوديه	no	nan	nan	nan	nan	no	no
177	قبل 8 أيام روجت #تركيا لخلوها من #كورونا ووصفت الاحترازات السعودية بالرعب، اليوم أعلنت عن وفاة 21 مواطن وتجاوز عدد الإصابات 900 حالة، وهي الدولة الوحيدة التي فاق فيها عدد الإصابات 500 حالة بلا أي حالات شفاء، يؤسفني القول، 10 أيام وستذهب إلى كارثة إنسانية لتلحق بإيطاليا وإيران.	yes	no	yes	yes	yes	yes	yes
178	ثلاثة أمور اتوقع نحصل عليها زبادة الانتاج ولو مليون برميل اضافي فوق إنتاجنا السابق وطائرات اف ٣٥ وتخصيب اليورانيوم على ارضنابالاضافة بتحقيق مكاسب بملفات سياسية متعددة من حرب الحوثي وملف قطروايران  مقابل ان نخفض إنتاجنا واتت كورونا وزادت موقفناقوة فهو ضاغط اقتصادي ومشغل الغرب الان	no	nan	nan	nan	nan	no	no
179	إذا كنت تعتقد أن مناعتك قوية ولا تخشى من الإصابة بفيروس #كورونا، تذكر والديك وأهلك وأحبابك وأبناء وطنك الغالي أن تكون سبباً في نقل العدوى لهم لا سمح الله.  #كلنا_مسؤول #خلك_بالبيت	no	nan	nan	nan	nan	no	no
180	في الوقت الذي تتوحد فيه الجهود العالمية لمواجهة فايروس #كورونا الذي يهدد العالم تخرج علينا هذه القناةبتحقيق مليء بالكذب والإفتراءات وتصورات خيالية ما هذا الحقد الأسودالموجود في قلوبهم أسأل الله لكم الشفاء وأن تجدوا علاج لهذا الحقد الذي أصبح كالوباء يجتاح كل العاملين بهذه القناة	no	nan	nan	nan	nan	yes	yes
